method,dataset,dtype,filt,ncells_fact,repl,FPR
edgeRLRT,GSE45719null,full-length,,24,1,0.124246300018272
edgeRLRT,GSE45719null,full-length,,12,1,0.0999370475291155
edgeRLRT,GSE45719null,full-length,,12,2,0.122856917120961
edgeRLRT,GSE45719null,full-length,,12,3,0.118878637331441
edgeRLRT,GSE45719null,full-length,,12,4,0.1020206022187
edgeRLRT,GSE45719null,full-length,,12,5,0.121868732549451
edgeRLRT,GSE45719null,full-length,,6,1,0.110819418144259
edgeRLRT,GSE45719null,full-length,,6,2,0.1343471103024
edgeRLRT,GSE45719null,full-length,,6,3,0.142467920548427
edgeRLRT,GSE45719null,full-length,,6,4,0.0989173442323579
edgeRLRT,GSE45719null,full-length,,6,5,0.100701663201663
Wilcoxon,GSE45719null,full-length,,24,1,0.0460076740361776
Wilcoxon,GSE45719null,full-length,,12,1,0.0355681460497324
Wilcoxon,GSE45719null,full-length,,12,2,0.0315635616654815
Wilcoxon,GSE45719null,full-length,,12,3,0.0300843782036117
Wilcoxon,GSE45719null,full-length,,12,4,0.0328050713153724
Wilcoxon,GSE45719null,full-length,,12,5,0.0298871367336506
Wilcoxon,GSE45719null,full-length,,6,1,0.0302117404028232
Wilcoxon,GSE45719null,full-length,,6,2,0.0260376050602201
Wilcoxon,GSE45719null,full-length,,6,3,0.0292230620495693
Wilcoxon,GSE45719null,full-length,,6,4,0.0213487542936649
Wilcoxon,GSE45719null,full-length,,6,5,0.0271569646569647
edgeRQLF,GSE45719null,full-length,,24,1,0.219733235885255
edgeRQLF,GSE45719null,full-length,,12,1,0.176306263770853
edgeRQLF,GSE45719null,full-length,,12,2,0.198783281978352
edgeRQLF,GSE45719null,full-length,,12,3,0.196277896064979
edgeRQLF,GSE45719null,full-length,,12,4,0.182765451664025
edgeRQLF,GSE45719null,full-length,,12,5,0.19646859884384
edgeRQLF,GSE45719null,full-length,,6,1,0.150929592012395
edgeRQLF,GSE45719null,full-length,,6,2,0.173945065418941
edgeRQLF,GSE45719null,full-length,,6,3,0.175909650202144
edgeRQLF,GSE45719null,full-length,,6,4,0.134571068307318
edgeRQLF,GSE45719null,full-length,,6,5,0.140029452529453
BPSC,GSE45719null,full-length,,24,1,0.107211692900739
BPSC,GSE45719null,full-length,,12,1,0.0764478764478764
BPSC,GSE45719null,full-length,,12,2,0.0863031155248934
BPSC,GSE45719null,full-length,,12,3,0.0840006888831482
BPSC,GSE45719null,full-length,,12,4,0.0833694803504815
BPSC,GSE45719null,full-length,,12,5,0.0817830817830818
BPSC,GSE45719null,full-length,,6,1,0.073825836560421
BPSC,GSE45719null,full-length,,6,2,0.0830418323829604
BPSC,GSE45719null,full-length,,6,3,0.0825719284603421
BPSC,GSE45719null,full-length,,6,4,0.0592018710714808
BPSC,GSE45719null,full-length,,6,5,0.0647288127436354
DESeq2,GSE45719null,full-length,,24,1,0.0527896200185357
DESeq2,GSE45719null,full-length,,12,1,0.0436761418077292
DESeq2,GSE45719null,full-length,,12,2,0.0457574054748334
DESeq2,GSE45719null,full-length,,12,3,0.044527939883284
DESeq2,GSE45719null,full-length,,12,4,0.0482886067812952
DESeq2,GSE45719null,full-length,,12,5,0.0414886395399912
DESeq2,GSE45719null,full-length,,6,1,0.0635916745110344
DESeq2,GSE45719null,full-length,,6,2,0.0658207771609833
DESeq2,GSE45719null,full-length,,6,3,0.0672835275302719
DESeq2,GSE45719null,full-length,,6,4,0.0520451930118213
DESeq2,GSE45719null,full-length,,6,5,0.0594253823894171
DESeq2nofilt,GSE45719null,full-length,,24,1,0.117145505097312
DESeq2nofilt,GSE45719null,full-length,,12,1,0.0785691472373044
DESeq2nofilt,GSE45719null,full-length,,12,2,0.119812153809103
DESeq2nofilt,GSE45719null,full-length,,12,3,0.121072827564154
DESeq2nofilt,GSE45719null,full-length,,12,4,0.0843242808934598
DESeq2nofilt,GSE45719null,full-length,,12,5,0.119674160444036
DESeq2nofilt,GSE45719null,full-length,,6,1,0.109617826029856
DESeq2nofilt,GSE45719null,full-length,,6,2,0.146348955590662
DESeq2nofilt,GSE45719null,full-length,,6,3,0.152379676756853
DESeq2nofilt,GSE45719null,full-length,,6,4,0.0944094453500154
DESeq2nofilt,GSE45719null,full-length,,6,5,0.102693676670914
edgeRLRTdeconv,GSE45719null,full-length,,24,1,0.118618673488032
edgeRLRTdeconv,GSE45719null,full-length,,12,1,0.0997403210576015
edgeRLRTdeconv,GSE45719null,full-length,,12,2,0.116970846172079
edgeRLRTdeconv,GSE45719null,full-length,,12,3,0.114699156217964
edgeRLRTdeconv,GSE45719null,full-length,,12,4,0.102575277337559
edgeRLRTdeconv,GSE45719null,full-length,,12,5,0.116795784340713
edgeRLRTdeconv,GSE45719null,full-length,,6,1,0.109571354794285
edgeRLRTdeconv,GSE45719null,full-length,,6,2,0.134433757906594
edgeRLRTdeconv,GSE45719null,full-length,,6,3,0.140710142380032
edgeRLRTdeconv,GSE45719null,full-length,,6,4,0.101004391495282
edgeRLRTdeconv,GSE45719null,full-length,,6,5,0.101611226611227
MASTcpm,GSE45719null,full-length,,24,1,0.0444728668006578
MASTcpm,GSE45719null,full-length,,12,1,0.0389518413597734
MASTcpm,GSE45719null,full-length,,12,2,0.0378841747649522
MASTcpm,GSE45719null,full-length,,12,3,0.0369056068133428
MASTcpm,GSE45719null,full-length,,12,4,0.0374009508716323
MASTcpm,GSE45719null,full-length,,12,5,0.0377128475362775
MASTcpm,GSE45719null,full-length,,6,1,0.0531933207092443
MASTcpm,GSE45719null,full-length,,6,2,0.0545879906420587
MASTcpm,GSE45719null,full-length,,6,3,0.0529530673229038
MASTcpm,GSE45719null,full-length,,6,4,0.0427409887386408
MASTcpm,GSE45719null,full-length,,6,5,0.0486399861399861
