method,dataset,dtype,filt,ncells,repl,charac,snr
edgeRLRT,GSE45719null,full-length,,24,1,Fraction zeros,-0.196021090675598
edgeRQLF,GSE45719null,full-length,,24,1,Fraction zeros,0.669031604782498
NODES,GSE45719null,full-length,,24,1,Fraction zeros,-0.891589026335121
DESeq2,GSE45719null,full-length,,24,1,Fraction zeros,-0.259126674919585
DESeq2nofilt,GSE45719null,full-length,,24,1,Fraction zeros,-0.379625302969235
edgeRLRTdeconv,GSE45719null,full-length,,24,1,Fraction zeros,-0.1729081697192
SCDE,GSE45719null,full-length,,24,1,Fraction zeros,0.310247813272873
edgeRLRTrobust,GSE45719null,full-length,,24,1,Fraction zeros,0.249083187814258
SeuratBimod,GSE45719null,full-length,,24,1,Fraction zeros,-0.382300529539067
SeuratBimodnofilt,GSE45719null,full-length,,24,1,Fraction zeros,-0.0832834023910383
edgeRLRTcensus,GSE45719null,full-length,,24,1,Fraction zeros,-0.805083772088882
monoclecensus,GSE45719null,full-length,,24,1,Fraction zeros,-0.0173481601948488
monocle,GSE45719null,full-length,,24,1,Fraction zeros,0.277620770443786
monoclecount,GSE45719null,full-length,,24,1,Fraction zeros,0.749386662320462
edgeRQLFDetRate,GSE45719null,full-length,,24,1,Fraction zeros,0.799021290642278
DESeq2betapFALSE,GSE45719null,full-length,,24,1,Fraction zeros,-0.070128478819282
DEsingle,GSE45719null,full-length,,24,1,Fraction zeros,-0.497684860200715
zinbwaveedgeR,GSE45719null,full-length,,24,1,Fraction zeros,-0.53282676701749
zinbwaveDESeq2,GSE45719null,full-length,,24,1,Fraction zeros,-0.151721024439284
DESeq2LRT,GSE45719null,full-length,,24,1,Fraction zeros,-0.462525970598562
BPSC,GSE45719null,full-length,,24,1,Fraction zeros,0.375772279778581
MASTcpm,GSE45719null,full-length,,24,1,Fraction zeros,0.958430483910791
MASTcpmDetRate,GSE45719null,full-length,,24,1,Fraction zeros,0.922766339849993
MASTtpm,GSE45719null,full-length,,24,1,Fraction zeros,0.96186107934796
MASTtpmDetRate,GSE45719null,full-length,,24,1,Fraction zeros,0.929449614261155
edgeRLRT,GSE45719null,full-length,,24,1,log2(average CPM),0.331666851611038
edgeRQLF,GSE45719null,full-length,,24,1,log2(average CPM),-0.24661111422619
NODES,GSE45719null,full-length,,24,1,log2(average CPM),0.929548543631893
DESeq2,GSE45719null,full-length,,24,1,log2(average CPM),0.351986408474752
DESeq2nofilt,GSE45719null,full-length,,24,1,log2(average CPM),0.393461819143239
edgeRLRTdeconv,GSE45719null,full-length,,24,1,log2(average CPM),0.3109955700713
SCDE,GSE45719null,full-length,,24,1,log2(average CPM),0.310626757317265
edgeRLRTrobust,GSE45719null,full-length,,24,1,log2(average CPM),0.178423130685536
SeuratBimod,GSE45719null,full-length,,24,1,log2(average CPM),1.02833033303309
SeuratBimodnofilt,GSE45719null,full-length,,24,1,log2(average CPM),0.0781842793494489
edgeRLRTcensus,GSE45719null,full-length,,24,1,log2(average CPM),1.20610730455511
monoclecensus,GSE45719null,full-length,,24,1,log2(average CPM),0.817054534060245
monocle,GSE45719null,full-length,,24,1,log2(average CPM),0.0108956613300646
monoclecount,GSE45719null,full-length,,24,1,log2(average CPM),-0.114946485734634
edgeRQLFDetRate,GSE45719null,full-length,,24,1,log2(average CPM),-0.318233136386678
DESeq2betapFALSE,GSE45719null,full-length,,24,1,log2(average CPM),0.319685893035838
DEsingle,GSE45719null,full-length,,24,1,log2(average CPM),0.444031144950689
zinbwaveedgeR,GSE45719null,full-length,,24,1,log2(average CPM),0.427179948339838
zinbwaveDESeq2,GSE45719null,full-length,,24,1,log2(average CPM),0.301101249409196
DESeq2LRT,GSE45719null,full-length,,24,1,log2(average CPM),0.391327327596449
BPSC,GSE45719null,full-length,,24,1,log2(average CPM),0.165612427879155
MASTcpm,GSE45719null,full-length,,24,1,log2(average CPM),-0.105112999968411
MASTcpmDetRate,GSE45719null,full-length,,24,1,log2(average CPM),-0.135410629302234
MASTtpm,GSE45719null,full-length,,24,1,log2(average CPM),-0.136595190613456
MASTtpmDetRate,GSE45719null,full-length,,24,1,log2(average CPM),-0.238249044790854
edgeRLRT,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.503779216003896
edgeRQLF,GSE45719null,full-length,,24,1,log2(variance(CPM)),-0.0754095259735539
NODES,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.874340488473129
DESeq2,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.43308622789484
DESeq2nofilt,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.533170868468842
edgeRLRTdeconv,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.480288525695189
SCDE,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.447946706504138
edgeRLRTrobust,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.265051585617635
SeuratBimod,GSE45719null,full-length,,24,1,log2(variance(CPM)),1.2478774163114
SeuratBimodnofilt,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.143625376314492
edgeRLRTcensus,GSE45719null,full-length,,24,1,log2(variance(CPM)),1.60201907772729
monoclecensus,GSE45719null,full-length,,24,1,log2(variance(CPM)),1.12501933798894
monocle,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.0690137638507998
monoclecount,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.0789435947144285
edgeRQLFDetRate,GSE45719null,full-length,,24,1,log2(variance(CPM)),-0.154135331578335
DESeq2betapFALSE,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.417211419905469
DEsingle,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.499294209806971
zinbwaveedgeR,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.603110226808164
zinbwaveDESeq2,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.394902086647818
DESeq2LRT,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.481414736160799
BPSC,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.331368888725769
MASTcpm,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.105602773222293
MASTcpmDetRate,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.0469201291324428
MASTtpm,GSE45719null,full-length,,24,1,log2(variance(CPM)),0.0649335022191726
MASTtpmDetRate,GSE45719null,full-length,,24,1,log2(variance(CPM)),-0.0509438421204957
edgeRLRT,GSE45719null,full-length,,24,1,CV(CPM),0.546293997128163
edgeRQLF,GSE45719null,full-length,,24,1,CV(CPM),1.00921684850613
NODES,GSE45719null,full-length,,24,1,CV(CPM),-0.832026624557169
DESeq2,GSE45719null,full-length,,24,1,CV(CPM),0.0559020558942162
DESeq2nofilt,GSE45719null,full-length,,24,1,CV(CPM),0.29617802080358
edgeRLRTdeconv,GSE45719null,full-length,,24,1,CV(CPM),0.542431230898652
SCDE,GSE45719null,full-length,,24,1,CV(CPM),0.263288229278154
