method,dataset,dtype,filt,ncells_fact,repl,thr,TPR,FDR,AUROC,fracNA,fdrcontrol
BPSC,GSE45719sim123,full-length,,50,1,thr0.05,0.599503369989358,0.205079962370649,0.686613439470479,0.0334641455583304,high FDP
D3E,GSE45719sim123,full-length,,50,1,thr0.05,0.586378148279532,0.0282186948853616,0.889715434580667,0.000249732429539779,low FDP
DESeq2,GSE45719sim123,full-length,,50,1,thr0.05,0.691734657680028,0.0753911806543385,0.903211517002951,0.197395647520514,high FDP
DESeq2betapFALSE,GSE45719sim123,full-length,,50,1,thr0.05,0.703440936502306,0.0819444444444444,0.912733647560527,0.177702461648234,high FDP
DESeq2census,GSE45719sim123,full-length,,50,1,thr0.05,0.276339127350124,0.0523114355231144,0.657319256338511,0.722868355333571,in range
DESeq2LRT,GSE45719sim123,full-length,,50,1,thr0.05,0.699538843561547,0.0613993336506426,0.919074469441729,0.158401712450945,in range
DESeq2nofilt,GSE45719sim123,full-length,,50,1,thr0.05,0.738914508691025,0.0578923563998191,0.951346661139894,0,in range
DEsingle,GSE45719sim123,full-length,,50,1,thr0.05,0.720113515431004,0.0500701918577445,0.955867835524927,0,in range
edgeRLRT,GSE45719sim123,full-length,,50,1,thr0.05,0.84072366087265,0.0849420849420849,0.973204085858736,0,high FDP
edgeRLRTcensus,GSE45719sim123,full-length,,50,1,thr0.05,0.447676481021639,0.0568011958146487,0.901722769509624,0,in range
edgeRLRTdeconv,GSE45719sim123,full-length,,50,1,thr0.05,0.841433132316424,0.0834621329211747,0.973323559938089,0,high FDP
edgeRLRTrobust,GSE45719sim123,full-length,,50,1,thr0.05,0.806314295849592,0.246102819237148,0.947207160779059,0,high FDP
edgeRQLF,GSE45719sim123,full-length,,50,1,thr0.05,0.926924441291238,0.459118194990685,0.968862263299455,0,high FDP
edgeRQLFDetRate,GSE45719sim123,full-length,,50,1,thr0.05,0.918765519687833,0.449404761904762,0.967751418890123,0,high FDP
limmatrend,GSE45719sim123,full-length,,50,1,thr0.05,0.665838949982263,0.0324742268041237,0.950931140113237,0,low FDP
logregLRT,GSE45719sim123,full-length,,50,1,thr0.05,0.744235544519333,0.0519656574785359,0.955109581059941,0,in range
MASTcpm,GSE45719sim123,full-length,,50,1,thr0.05,0.720822986874778,0.05707656612529,0.955051405864901,0,in range
MASTcpmDetRate,GSE45719sim123,full-length,,50,1,thr0.05,0.723306136927989,0.0655362053162236,0.954480509438262,0,in range
MASTtpm,GSE45719sim123,full-length,,50,1,thr0.05,0.724015608371763,0.0688868613138686,0.954363434408555,0,in range
MASTtpmDetRate,GSE45719sim123,full-length,,50,1,thr0.05,0.726853494146861,0.0786870503597122,0.953596885282188,0,in range
metagenomeSeq,GSE45719sim123,full-length,,50,1,thr0.05,0.320326356864136,0.0269396551724138,0.626381520175466,0.12272565108812,in range
monocle,GSE45719sim123,full-length,,50,1,thr0.05,0.35899255054984,0.196187450357427,0.562442865155301,0,high FDP
monoclecensus,GSE45719sim123,full-length,,50,1,thr0.05,0.40333451578574,0.0954653937947494,0.740538320568724,0,in range
monoclecount,GSE45719sim123,full-length,,50,1,thr0.05,0.872649875842497,0.374045801526718,0.965223587416705,0,high FDP
NODES,GSE45719sim123,full-length,,50,1,thr0.05,0.636395885065626,0.144083969465649,0.933569421862383,0.0362112022832679,high FDP
ROTScpm,GSE45719sim123,full-length,,50,1,thr0.05,0.280241220290883,0.0572792362768496,0.770483026062445,0,low FDP
ROTStpm,GSE45719sim123,full-length,,50,1,thr0.05,0.32990422135509,0.07,0.822759429394273,0,in range
ROTSvoom,GSE45719sim123,full-length,,50,1,thr0.05,0.658389499822632,0.0408268733850129,0.942076775526441,0,low FDP
SAMseq,GSE45719sim123,full-length,,50,1,thr0.05,0.566512947853849,0.058372641509434,0.898444914914574,0.00545843738851231,in range
scDD,GSE45719sim123,full-length,,50,1,thr0.05,0.380631429584959,0.0263157894736842,0.634070783840154,0.160684980378166,low FDP
SCDE,GSE45719sim123,full-length,,50,1,thr0.05,0.741042923022348,0.0382136279926335,0.960427683153053,0,low FDP
SeuratBimod,GSE45719sim123,full-length,,50,1,thr0.05,0.292656970556935,0.110991379310345,0.644356916732392,0.964609347128077,high FDP
SeuratBimodIsExpr2,GSE45719sim123,full-length,,50,1,thr0.05,0.109258602341256,0.0159744408945687,0.553993334919473,0.987727434891188,in range
SeuratBimodnofilt,GSE45719sim123,full-length,,50,1,thr0.05,0.86094359702022,0.63393665158371,0.9258443413011,0,high FDP
